ensembl_gene_id,sepwes003,sepwes006,sepwes007,sepwes008,sepwes009,sepwes010,sepwes011,sepwes012
ENSG00000035664,8,9,9,11,7,10,8,8
ENSG00000035681,9,9,9,9,9,9,9,9
ENSG00000035687,9,8,9,8,8,11,9,9
ENSG00000035720,10,5,8,5,9,4,6,7
ENSG00000035862,11,11,11,12,10,11,10,11
ENSG00000035928,8,8,9,7,9,8,9,9
ENSG00000036054,9,8,9,8,8,9,8,8
ENSG00000036257,10,10,10,11,10,10,10,10
ENSG00000036448,6,5,5,5,7,4,5,7
ENSG00000036549,7,7,7,6,8,7,8,7
ENSG00000037042,5,5,5,6,7,5,5,5
ENSG00000037241,5,5,4,5,5,5,5,4
ENSG00000037280,4,5,4,3,6,4,5,4
ENSG00000037474,9,9,9,8,9,8,9,9
ENSG00000037637,8,8,8,9,8,8,8,9
ENSG00000037749,8,8,7,6,7,8,7,7
ENSG00000037757,6,7,6,7,8,7,8,7
ENSG00000037897,5,4,3,5,6,4,5,3
ENSG00000038002,6,7,6,7,7,7,7,7
ENSG00000038210,10,6,9,5,7,6,7,8
ENSG00000038219,11,12,12,12,10,12,11,12
ENSG00000038274,11,11,11,10,11,10,10,10
ENSG00000038358,8,8,7,8,8,8,8,7
ENSG00000038382,8,8,8,7,7,7,8,8
ENSG00000038427,13,14,12,12,9,12,12,13
ENSG00000038532,8,8,7,8,8,8,8,8
ENSG00000038945,9,5,9,4,4,6,5,8
ENSG00000039123,8,8,8,7,9,8,9,8
ENSG00000039319,9,10,9,9,8,10,9,8
ENSG00000039523,8,9,9,9,10,9,9,9
ENSG00000039650,8,7,7,9,8,8,8,8
ENSG00000040199,6,5,6,4,7,6,7,6
ENSG00000040275,5,5,5,4,6,6,6,6
ENSG00000040341,7,7,8,8,7,8,7,7
ENSG00000040487,5,6,5,7,6,7,6,6
ENSG00000040531,7,7,7,7,6,7,7,7
ENSG00000040633,9,9,8,10,8,9,8,9
ENSG00000040933,9,9,9,10,9,10,10,10
ENSG00000041353,8,8,7,7,6,6,7,7
ENSG00000041357,11,9,10,8,9,9,9,9
ENSG00000041802,8,8,9,7,9,8,8,8
ENSG00000041880,7,5,6,5,8,5,5,6
ENSG00000041988,6,6,6,6,7,7,7,6
ENSG00000042062,6,4,4,5,3,6,4,4
ENSG00000042088,5,6,6,6,8,7,8,7
ENSG00000042286,6,5,4,6,7,5,6,4
ENSG00000042317,4,5,5,4,5,5,5,4
ENSG00000042429,6,6,6,6,6,6,6,6
ENSG00000042445,7,7,7,8,7,7,7,7
ENSG00000042493,11,11,10,12,9,10,9,10
ENSG00000042753,9,9,8,9,8,9,8,9
ENSG00000042832,5,4,5,5,4,5,6,4
ENSG00000042980,6,7,7,6,10,6,8,7
ENSG00000043093,9,9,9,8,8,9,8,8
ENSG00000043143,11,9,10,8,10,8,10,10
ENSG00000043462,13,12,13,12,11,12,11,12
ENSG00000043514,6,7,6,6,7,6,7,7
ENSG00000044090,6,7,6,7,7,7,7,7
ENSG00000044115,11,11,11,11,9,10,9,11
ENSG00000044446,9,9,9,11,8,9,9,9
ENSG00000044459,7,6,7,6,5,7,6,6
ENSG00000044574,12,11,12,11,11,10,10,11
ENSG00000046647,5,6,5,5,6,6,6,5
ENSG00000046651,8,8,8,7,10,8,9,9
